country,population,per_capita_income,life_expectancy,energy_use_per_person,economic_growth,democratic_score,CO2_emission_per_person
Sao Tome and Principe,196000,2300,83.6,1150,7.7,7,4.24
Saudi Arabia,31600000,13300,76.8,361,2.36,-2,5.31
Senegal,15000000,25500,80.7,441,2.6,10,0.185
Serbia,8850000,1320,62.8,1590,0.807,,10.3
Seychelles,93700,80900,57.3,57.3,1.56,9,5.65
Sierra Leone,7240000,28300,61.8,410,-2.13,-9,6.19
Singapore,5540000,29100,80.9,567,6.35,-1,0.35
Slovak Republic,5440000,2050,58.9,14600,2.08,6,0.045
Slovenia,2070000,623,82.9,878,-0.33,-8,8.98
Solomon Islands,587000,12400,77.2,1440,0.377,10,11.7
Somalia,13900000,34200,76.1,4590,6.81,10,0.13
South Africa,55300000,1810,71.6,3000,3.25,10,5.03
South Korea,50600000,32200,68,8300,0.787,-9,0.892
South Sudan,11900000,11100,71.2,3440,-1.64,-3,4.3
Spain,46400000,24100,56.4,7760,3.75,-7,2.31
Sri Lanka,20700000,10700,82.1,948,-1.25,-2,1.91
St. Kitts and Nevis,54300,10500,83.1,1780,4.74,7,0.407
St. Lucia,177000,4290,68.4,159,2.7,1,3.63
St. Vincent and the Grenadines,109000,14800,71.6,2100,2.24,2011,0.929
Sudan,38600000,8050,63.5,530,-0.591,,4.48
Suriname,553000,45500,77.6,317,0.321,9,4.29
Swaziland,1320000,56500,72.6,589,-0.907,2,1.6
Sweden,9760000,3500,62.1,724,-2.58,-2,0.62
Switzerland,8320000,2640,70.3,2007,4.63,8,0.221
Syria,18700000,2490,73.1,680,2.12,5,4.62
Tajikistan,8550000,15200,77.4,1070,-0.991,10,0.387
Tanzania,53900000,2150,79,470,-2.29,10,0.363
Thailand,68700000,1350,69.9,1600,2003,-7,1.14
Timor-Leste,1240000,5190,61.6,1850,-6.38,-8,34.2
Togo,7420000,31300,71.9,973,8.32,5,2.59
Tonga,106000,10800,76.5,5870,0.988,-7,4.49
Trinidad and Tobago,1360000,23400,80.8,4020,2.8,8,12.5
Tunisia,11300000,15000,78.8,1410,-0.35,7,1.01
Turkey,78300000,3320,77.1,2070,2.73,3,0.135
Turkmenistan,5570000,1690,70,11200,1.84,7,5.06
Tuvalu,11000,7470,63.6,173,0.556,,23.3
Uganda,40100000,66000,75.5,1450,-0.0179,8,6.46
Ukraine,44700000,38500,74.3,2920,2.53,8,16.5
United Arab Emirates,9150000,52800,67.2,5340,1.7,9,1.97
United Kingdom,65400000,19800,58.1,597,1.92,,3.45
United States,320000000,5700,58.3,379,2.36,6,0.595
Uruguay,3430000,2810,2015,355,1.79,2,6.03
Uzbekistan,31000000,15600,57.9,561,4.55,-4,1.8
Vanuatu,265000,5670,77.6,1410,1.27,10,0.865
Venezuela,31200000,2640,77.3,1040,15.2,10,0.288
Vietnam,93600000,3630,82.5,1230,3.29,-1,0.78
Yemen,26900000,1890,64,8610,0.618,-2,2014
Zambia,16100000,2015,77.2,2670,-0.176,10,0.299
Zimbabwe,15800000,1750,76.5,254,0.783,-7,1.96
