HSCode,value,country
73,0.29,BAHAMAS
74,,BAHAMAS
76,0.13,BAHAMAS
81,2.31,BAHAMAS
83,0.01,BAHAMAS
84,2.01,BAHAMAS
85,1.09,BAHAMAS
87,0.06,BAHAMAS
89,,BAHAMAS
90,0.15,BAHAMAS
94,0.05,BAHAMAS
98,,BAHAMAS
4,,BAHARAIN IS
8,,BAHARAIN IS
9,0.1,BAHARAIN IS
10,0.03,BAHARAIN IS
12,0.07,BAHARAIN IS
13,0,BAHARAIN IS
17,,BAHARAIN IS
18,,BAHARAIN IS
19,,BAHARAIN IS
21,0.28,BAHARAIN IS
22,0.01,BAHARAIN IS
25,1.81,BAHARAIN IS
26,96.51,BAHARAIN IS
27,118.94,BAHARAIN IS
28,9.8,BAHARAIN IS
29,0,BAHARAIN IS
30,0,BAHARAIN IS
31,53.41,BAHARAIN IS
32,0.17,BAHARAIN IS
33,0,BAHARAIN IS
34,0.01,BAHARAIN IS
35,0,BAHARAIN IS
37,0.01,BAHARAIN IS
38,0.17,BAHARAIN IS
39,10.42,BAHARAIN IS
40,0.1,BAHARAIN IS
42,0,BAHARAIN IS
44,0.41,BAHARAIN IS
47,8.59,BAHARAIN IS
48,0.04,BAHARAIN IS
49,0.01,BAHARAIN IS
52,0.49,BAHARAIN IS
55,0.02,BAHARAIN IS
56,0,BAHARAIN IS
57,0,BAHARAIN IS
58,,BAHARAIN IS
59,,BAHARAIN IS
61,0,BAHARAIN IS
62,0.02,BAHARAIN IS
63,0,BAHARAIN IS
64,0,BAHARAIN IS
65,0,BAHARAIN IS
68,0.08,BAHARAIN IS
69,0.08,BAHARAIN IS
70,11.32,BAHARAIN IS
71,37.58,BAHARAIN IS
72,35.17,BAHARAIN IS
73,0.84,BAHARAIN IS
74,12.88,BAHARAIN IS
75,0.48,BAHARAIN IS
76,115.96,BAHARAIN IS
78,1.1,BAHARAIN IS
79,0.23,BAHARAIN IS
81,,BAHARAIN IS
82,0.02,BAHARAIN IS
83,0.04,BAHARAIN IS
84,4.59,BAHARAIN IS
85,2.26,BAHARAIN IS
86,2.35,BAHARAIN IS
87,2.37,BAHARAIN IS
88,9.57,BAHARAIN IS
89,0.43,BAHARAIN IS
90,0.26,BAHARAIN IS
91,,BAHARAIN IS
94,0.08,BAHARAIN IS
95,0,BAHARAIN IS
96,0,BAHARAIN IS
97,0.03,BAHARAIN IS
98,0.09,BAHARAIN IS
99,0.38,BAHARAIN IS
3,22.7,BANGLADESH PR
4,0.8,BANGLADESH PR
5,0.03,BANGLADESH PR
6,0.06,BANGLADESH PR
8,5.48,BANGLADESH PR
11,1.06,BANGLADESH PR
12,0.39,BANGLADESH PR
15,22.35,BANGLADESH PR
17,3.93,BANGLADESH PR
18,0.88,BANGLADESH PR
19,12.55,BANGLADESH PR
20,0.24,BANGLADESH PR
21,2.34,BANGLADESH PR
22,16.03,BANGLADESH PR
23,9.22,BANGLADESH PR
24,0.13,BANGLADESH PR
25,21.52,BANGLADESH PR
27,3.52,BANGLADESH PR
28,37.31,BANGLADESH PR
29,2.44,BANGLADESH PR
30,0.02,BANGLADESH PR
32,0.11,BANGLADESH PR
33,0.06,BANGLADESH PR
34,1.2,BANGLADESH PR
35,0.01,BANGLADESH PR
38,5.07,BANGLADESH PR
39,35.9,BANGLADESH PR
40,5.44,BANGLADESH PR
41,10.3,BANGLADESH PR
42,19.48,BANGLADESH PR
44,0.03,BANGLADESH PR
46,0.1,BANGLADESH PR
48,8.47,BANGLADESH PR
49,0.25,BANGLADESH PR
50,0,BANGLADESH PR
51,,BANGLADESH PR
52,23.42,BANGLADESH PR
53,109.43,BANGLADESH PR
54,0.18,BANGLADESH PR
55,1.04,BANGLADESH PR
56,9.03,BANGLADESH PR
57,0.06,BANGLADESH PR
58,0.59,BANGLADESH PR
59,0.61,BANGLADESH PR
60,12.91,BANGLADESH PR
61,80.17,BANGLADESH PR
62,285.13,BANGLADESH PR
63,41.81,BANGLADESH PR
64,14.18,BANGLADESH PR
65,2.17,BANGLADESH PR
66,0.04,BANGLADESH PR
67,0.07,BANGLADESH PR
68,0.03,BANGLADESH PR
69,1.57,BANGLADESH PR
70,0.13,BANGLADESH PR
71,0,BANGLADESH PR
72,24.96,BANGLADESH PR
73,4.95,BANGLADESH PR
74,14.55,BANGLADESH PR
75,1.93,BANGLADESH PR
76,9.74,BANGLADESH PR
78,8.37,BANGLADESH PR
79,5.77,BANGLADESH PR
81,0.03,BANGLADESH PR
82,0.16,BANGLADESH PR
83,0.28,BANGLADESH PR
84,9.17,BANGLADESH PR
85,7.28,BANGLADESH PR
86,0.04,BANGLADESH PR
87,4.44,BANGLADESH PR
88,104.65,BANGLADESH PR
89,12.03,BANGLADESH PR
90,1.26,BANGLADESH PR
94,2.77,BANGLADESH PR
95,0.08,BANGLADESH PR
96,0.22,BANGLADESH PR
97,0.05,BANGLADESH PR
98,0,BANGLADESH PR
99,0,BANGLADESH PR
25,,BARBADOS
28,0,BARBADOS
29,0.28,BARBADOS
34,0,BARBADOS
38,0.01,BARBADOS
39,0.28,BARBADOS
47,0.01,BARBADOS
62,0.28,BARBADOS
72,0.1,BARBADOS
85,0.69,BARBADOS
90,0.08,BARBADOS
11,,BELARUS
19,,BELARUS
27,0.09,BELARUS
28,1.56,BELARUS
29,1.38,BELARUS
30,0,BELARUS
31,203.99,BELARUS
33,,BELARUS
34,,BELARUS
38,0.45,BELARUS
39,2.85,BELARUS
40,0.03,BELARUS
41,2.25,BELARUS
42,,BELARUS
44,0.49,BELARUS
48,1.54,BELARUS
49,,BELARUS
53,0.1,BELARUS
54,3.26,BELARUS
55,5,BELARUS
56,,BELARUS
59,0,BELARUS
68,0.01,BELARUS
70,0.37,BELARUS
71,,BELARUS
72,0.84,BELARUS
73,0.01,BELARUS
74,,BELARUS
76,0.09,BELARUS
82,,BELARUS
83,,BELARUS
84,0.06,BELARUS
85,1.87,BELARUS
86,0.04,BELARUS
87,0.21,BELARUS
88,,BELARUS
90,0.72,BELARUS
94,,BELARUS
95,,BELARUS
98,,BELARUS
99,,BELARUS
1,0.08,BELGIUM
2,1.22,BELGIUM
3,1.03,BELGIUM
4,0.37,BELGIUM
5,6.71,BELGIUM
7,0.02,BELGIUM
8,1.82,BELGIUM
9,0.42,BELGIUM
10,,BELGIUM
11,4.53,BELGIUM
12,1,BELGIUM
13,0.91,BELGIUM
15,5.68,BELGIUM
16,0.37,BELGIUM
17,1.78,BELGIUM
18,7.83,BELGIUM
19,0.24,BELGIUM
